Regiao;Estado;Municipio;Produto;Data da Coleta;Valor de Venda
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;6,759
CO;DF;BRASILIA;ETANOL;02/02/22;5,579
CO;DF;BRASILIA;GASOLINA;02/02/22;6,649
CO;DF;BRASILIA;GASOLINA ADITIVADA;02/02/22;7,599
CO;DF;BRASILIA;ETANOL;02/02/22;6,099
CO;DF;BRASILIA;GASOLINA;02/02/22;6,639
CO;DF;BRASILIA;ETANOL;02/02/22;5,799
SE;ES;ARACRUZ;GASOLINA;02/02/22;6,899
SE;ES;ARACRUZ;GASOLINA ADITIVADA;02/02/22;6,899
SE;ES;ARACRUZ;ETANOL;02/02/22;5,799
SE;ES;ARACRUZ;GASOLINA;02/02/22;6,88
SE;ES;ARACRUZ;GASOLINA ADITIVADA;02/02/22;6,98
SE;ES;ARACRUZ;ETANOL;02/02/22;5,79
SE;ES;COLATINA;GASOLINA;03/02/22;6,97
SE;ES;COLATINA;GASOLINA ADITIVADA;03/02/22;7,07
SE;ES;COLATINA;GASOLINA;03/02/22;6,95
SE;ES;COLATINA;ETANOL;03/02/22;6,05
SE;ES;COLATINA;GASOLINA;03/02/22;6,99
SE;ES;COLATINA;GASOLINA ADITIVADA;03/02/22;7,25
SE;ES;COLATINA;ETANOL;01/02/22;6,49
SE;ES;COLATINA;GASOLINA;01/02/22;6,97
SE;ES;COLATINA;GASOLINA;03/02/22;6,97
SE;ES;COLATINA;GASOLINA ADITIVADA;03/02/22;7,08
SE;ES;COLATINA;GASOLINA;03/02/22;6,97
SE;ES;COLATINA;GASOLINA ADITIVADA;03/02/22;7,07
SE;ES;COLATINA;ETANOL;03/02/22;5,99
SE;ES;COLATINA;GASOLINA;03/02/22;6,99
SE;ES;COLATINA;ETANOL;03/02/22;5,39
SE;ES;COLATINA;GASOLINA;03/02/22;6,97
SE;ES;COLATINA;GASOLINA ADITIVADA;03/02/22;7,07
SE;ES;GUARAPARI;GASOLINA;02/02/22;7,129
SE;ES;GUARAPARI;GASOLINA ADITIVADA;02/02/22;7,179
SE;ES;GUARAPARI;GASOLINA ADITIVADA;01/02/22;7,099
SE;ES;GUARAPARI;ETANOL;01/02/22;5,699
SE;ES;GUARAPARI;GASOLINA;01/02/22;6,799
SE;ES;GUARAPARI;GASOLINA ADITIVADA;01/02/22;7,14
SE;ES;GUARAPARI;ETANOL;01/02/22;6,09
SE;ES;GUARAPARI;GASOLINA;01/02/22;7,24
SE;ES;GUARAPARI;GASOLINA ADITIVADA;01/02/22;6,879
SE;ES;GUARAPARI;ETANOL;01/02/22;5,779
SE;ES;GUARAPARI;GASOLINA;01/02/22;6,789
SE;ES;GUARAPARI;GASOLINA ADITIVADA;01/02/22;6,799
SE;ES;GUARAPARI;GASOLINA;01/02/22;6,799
SE;ES;GUARAPARI;GASOLINA;01/02/22;6,869
SE;ES;GUARAPARI;GASOLINA;02/02/22;6,799
SE;ES;GUARAPARI;GASOLINA ADITIVADA;02/02/22;6,899
SE;ES;GUARAPARI;ETANOL;02/02/22;5,979
SE;ES;LINHARES;GASOLINA;03/02/22;6,89
SE;ES;LINHARES;GASOLINA ADITIVADA;03/02/22;6,99
SE;ES;LINHARES;GASOLINA;02/02/22;6,79
SE;ES;LINHARES;GASOLINA ADITIVADA;02/02/22;6,89
SE;ES;LINHARES;ETANOL;02/02/22;5,89
SE;ES;LINHARES;ETANOL;03/02/22;5,99
SE;ES;LINHARES;GASOLINA;03/02/22;6,89
SE;ES;LINHARES;GASOLINA ADITIVADA;03/02/22;6,99
SE;ES;SAO MATEUS;ETANOL;03/02/22;6,39
SE;ES;SAO MATEUS;GASOLINA;03/02/22;6,99
SE;ES;SAO MATEUS;GASOLINA ADITIVADA;03/02/22;7,09
SE;ES;VILA VELHA;GASOLINA;03/02/22;6,85
SE;ES;VITORIA;GASOLINA ADITIVADA;01/02/22;7,049
SE;ES;VITORIA;ETANOL;01/02/22;5,699
SE;ES;VITORIA;GASOLINA;01/02/22;6,899
SE;ES;VITORIA;GASOLINA ADITIVADA;01/02/22;7,199
SE;ES;VITORIA;GASOLINA;01/02/22;6,999
SE;ES;VITORIA;GASOLINA ADITIVADA;01/02/22;6,979
SE;ES;VITORIA;ETANOL;01/02/22;5,799
SE;ES;VITORIA;GASOLINA;01/02/22;6,779
